X,Y,YEAR,MO,DAY,VEI,VOL_ID,FATALITIES,ASSOC_EQ,ASSOC_TSU,COMMENTS,DAMAGE_MILLIONS_DOLLARS,DAMAGE_AMOUNT_ORDER,DAMAGE_DESCRIPTION,DEATHS,DEATHS_AMOUNT_ORDER,DEATHS_DESCRIPTION,INJURIES,INJURIES_AMOUNT_ORDER,INJURIES_DESCRIPTION,MISSING,MISSING_AMOUNT_ORDER,MISSING_DESCRIPTION,HOUSES_DESTROYED,HOUSES_AMOUNT_ORDER,HOUSES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS_TOTAL,DAMAGE_AMOUNT_ORDER_TOTAL,DAMAGE_TOTAL_DESCRIPTION,DEATHS_TOTAL,DEATHS_AMOUNT_ORDER_TOTAL,DEATHS_TOTAL_DESCRIPTION,INJURIES_TOTAL,INJURIES_AMOUNT_ORDER_TOTAL,INJURIES_TOTAL_DESCRIPTION,MISSING_TOTAL,MISSING_AMOUNT_ORDER_TOTAL,MISSING_TOTAL_DESCRIPTION,HOUSES_DESTROYED_TOTAL,HOUSES_AMOUNT_ORDER_TOTAL,HOUSES_TOTAL_DESCRIPTION,SIGNIF,VALIDITY,NUM,NAME,LOCATION,LATITUDE,LONGITUDE,ELEVATION,MORPHOLOGY,STATUS,TIME_ERUPT,ID,COUNTRY,NUM_SLIDES,SIG_ID,TSU_ID,HAZ_EVENT_ID,OBJECTID
138.53,36.4,1900,1,22,2,80311,25,,,A boulder swept through village killing 25 persons. Women and children became exhausted along road and were burned to death.,,,,25,1,Few (~1 to 50 people),,,,,,,,,,,,,25,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-11=,Asama,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1,80311,Japan,0,,,1158,912
138.53,36.4,1803,11,7,2,80311,,,,CAVW lists fatalities but does not specify which 1803 eruption (July or November). JMA-75 and Murayama mention no fatalities for either.,,,,,1,Few (~1 to 50 people),,,,,,,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-11=,Asama,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1,80311,Japan,0,,,1147,912
138.53,36.4,1783,7,26,4,80311,1491,,,"466 killed by Kamabara pyroclastic flow. 93 people who were able to climb up steps of small temple survived. Hot mudflows from the Kamabara nuee flowed into the Agatsuma R, causing  a temporary dam. Flood downstream over a distance of 100 km washed away 1,300 houses and up to 1,400 people. Suspended ash and dust decreased sunlight, and resulting cold and rainy weather caused a famine in the Kanto region. Approximately 300,000 people dies in northern Japan from the Tenmei famine, which lasted from 1783-1787. Some estimates suggest up to 1 million deaths, then about 3% of Japan's population, but the eruption is considered only a contributing factor.",,,,1491,4,Very Many (~1001 or more people),,,,,,,,,,,,,1491,4,Very Many (~1001 or more people),,,,,,,,,,1,,0803-11=,Asama,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1,80311,Japan,0,,,1145,912
138.53,36.4,1721,6,22,1,80311,15,,,"15 climbers killed, some sources say 5.",,,,15,1,Few (~1 to 50 people),,,,,,,,,,,,,15,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-11=,Asama,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1,80311,Japan,0,,,1133,912
138.53,36.4,1596,5,1,2,80311,,,,Many killed by tephra on May 1. One source also lists many fatalities for 8/19 eruption of same year.,,,,,3,Many (~101 to 1000 people),,,,,,,,,,,,,,3,Many (~101 to 1000 people),,,,,,,,,,1,,0803-11=,Asama,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1,80311,Japan,0,,,1106,912
131.1,32.88,1957,10,,2,80211,12,,,"12 ropeway workers killed, 20 (JMA says 28) injured by nighttime explosion.",,,,12,1,Few (~1 to 50 people),,,,,,,,,,,,,12,1,Few (~1 to 50 people),,,,,,,,,,1,,0802-11=,Aso,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical,D1,80211,Japan,0,,,1019,917
131.1,32.88,1953,4,27,2,80211,6,,,6 tourists killed near crater rim.,,,,6,1,Few (~1 to 50 people),,,,,,,,,,,,,6,1,Few (~1 to 50 people),,,,,,,,,,1,,0802-11=,Aso,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical,D1,80211,Japan,0,,,1012,917
140.250000000000114,37.73,1893,5,19,2,80318,2,,,2 geologists were killed on the crater rim by falling stones.,,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-18=,Azuma,Honshu-Japan,37.73,140.25,2024,Stratovolcano,Historical,D1,80318,Japan,0,,,1215,938
140.08,37.6,1888,7,15,4,80316,461,,,"Debris avalanche buried several villages. Only ~116 bodies recovered; 70 injured, mostly burned and scarred by pyroclastic surge.",,2,Moderate (~$1 to $5 million),461,3,Many (~101 to 1000 people),70,2,Some (~51 to 100 people),,,,,2,Some (~51 to 100 houses),,2,Moderate (~$1 to $5 million),461,3,Many (~101 to 1000 people),70,2,Some (~51 to 100 people),,,,,2,Some (~51 to 100 houses),1,,0803-16=,Bandai,Honshu-Japan,37.6,140.08,1819,Stratovolcano,Historical,D3,80316,Japan,0,,,1211,957
9.17,4.203,1909,4,28,2,20401,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0204-01=,"Cameroon, Mt.",Africa-W,4.203,9.17,4095,Stratovolcano,Historical,D1,20401,Cameroon,0,8158,,1713,1041
140.03,39.08,1801,7,,2,80322,8,,,Climbers killed by volcanic ejecta.,,,,8,1,Few (~1 to 50 people),,,,,,,,,,,,,8,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-22=,Chokai,Honshu-Japan,39.08,140.03,2237,Stratovolcano,Historical,D1,80322,Japan,0,,,1246,1080
29.2,-1.408,1938,1,28,1,20302,,,Y,"A lava lake in the summit crater, active since at least 1921, drained in 1938 during a major flank eruption. The lava flows from the eruption set hundreds of square kilometers of forest on fire destroying arable land. The flows were said to have reached Lake Kivu and the contrast between the lava and the water generated mini tsunamis.",,1,Limited (<$1 million),,,,,,,,,,,,,,1,Limited (<$1 million),,,,,,,,,,,,,1,,0203-02=,Nyamuragira,Africa-C,-1.408,29.2,3058,Shield volcano,Historical,D1,20302,"Congo, DRC",0,,3638,1682,1237
176.500000000000114,-38.12,1886,6,10,2,40105,153,,,"Almost all died as a result of burial by tephra. 147 Maoris and 6 Europeans. Villages affected included: Te Ariki (52 killed), Moura (39), Te Wairo (14), Rotomahana (11).",,,,153,3,Many (~101 to 1000 people),,,,,,,,,,,,,153,3,Many (~101 to 1000 people),,,,,,,,,,1,,0401-05=,Okataina,New Zealand,-38.12,176.5,1111,Lava dome,Historical,D1,40105,New Zealand,0,,,1343,1242
150.52,-5.58,1914,1,18,3,50208,,,,People on NE coast ~13 km from volcano faced with starvation and perhaps died from it.,,,,,1,Few (~1 to 50 people),,,,,,,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,1,,0502-08=,Pago,New Britain-SW Pac,-5.58,150.52,742,Caldera,Historical,D2,50208,Papua New Guinea,0,,,1354,1271
152.203,-4.271,1937,5,29,4,50214,507,Y,Y,"<P><blockquote><i>Reference #9675:</blockquote></i>
<P>1937, May 29. <B>Official death toll: 505 New Guineans and 2 Europeans</B>. Territory of Papua New Guinea medical officer at time gives 440 New Guineans killed by suffocation and or burial with only a few dying later from exposure or shock. Subsequent investigations indicate importance of pyroclastic flows in area around Vulcan cone. <P><blockquote><i>Reference #414:</blockquote></i>
<P>1937, May 28/29. There was an eruption of the Raluan and
Tawurwur Volcanoes in Blanche Bay. The eruption was accompanied at different stages by oscillations of the water level in the bay.<P>The first strong earthquake struck on May 28 at about 13:20. It lasted half a minute and reached a force of 7 degrees (VIII Rossi-Forel)... On May 29, at about 5:30, a new shock was felt at Rabaul... Between 8:00 and 9:00, an elevation of Kaluan Is was observed... 
<P>The eruption of the volcano began at 16:15 [May 29]. The island and the adjacent sections of bottom began to rise quickly; the little islands in the passage began to grow and merge, and soon a broad isthmus formed between the island and the mainland. Then the volcano exploded, and a black pillar of ash and steam 9 m wide and 12 m high rose into the air. The column grew with each subsequent explosion, and reached a height of 3 km. Masses of flames the size of a room or smaller flew up to a height of 1.5 km and then fell to the earth or into the water with A deafening noise. There were no lava flows.
<P>The eruption of the volcano lasted more than 24 hrs. According to rough estimates, it ejected 0.3 cubic km of material, which spread in the form of ash, mainly to the northwest of the volcano due to the prevailing southeast winds; 60,000,000 cubic m of fresh material was deposited immediately around the volcano under water and 190,000,000 cubic m was deposited above the water level. The height of the island increased from 9 to 200 m. Fields of pumice and ash 1/2 m thick floated in the bay.
<P>The eruption of the Tawurwur Volcano began on May 30, after 13:00. The eruption lasted until the morning of the following day; about 2,300,000 cubic m of material was ejected. It also settled to the northwest of the volcano, that is, in the region of Rabaul, where the layer of ash was several cm thick.
<P>During the first explosions of the Raluan Volcano, the underground shocks for the most part stopped. The water near Raluan Is was markedly agitated. At Rabaul, the water retreated 45 m several times, returned to the high high tide mark, and retreated again. Then the eruption was almost continuous for 3 hrs, but there were no noticeable oscillations in level.
<P>Beginning at 19:00, the eruption began to pulsate, and periods of explosions began to alternate with periods of relative calm. It was precisely, during such a period of calm and before 21:00, that is, before the lip of the new crater of the volcano had completely risen above the water, that considerable oscillations in level were observed in the harbor. Four to five minutes passed between the rise and fall of the water. The amplitude of at least three of these waves was 2-2 1/2 m above and below the mean water level. A schooner was run aground by the wave onto a small pier and then dragged to the depths of the bay together with the pier. Several boats ran aground, and one or two sank. Subsequently, the oscillations apparently diminished, but their range was still 1/2 m early in the morning on the 30th.
<P> During the eruption, <B>more than 500 people perished, including those who drowned</B>. At Rabaul, two homes and several small ships were destroyed in the rock and ash fall. After the earthquake and eruptions, a stretch of coast from Sulphur Creek to Matupi Island subsided, The
dike joining this island with the mainland subsided 1 m.",,1,Limited (<$1 million),507,3,Many (~101 to 1000 people),,,,,,,,1,Few (~1 to 50 houses),,1,Limited (<$1 million),507,3,Many (~101 to 1000 people),,,,,,,,1,Few (~1 to 50 houses),1,4,0502-14=,Rabaul,New Britain-SW Pac,-4.271,152.203,688,Pyroclastic shield,Historical,D1,50214,Papua New Guinea,0,10010,1698,1346,1351
15.213,38.789,1944,8,20,2,10104,,,Y,"1944, August 20, 06:30 UTC. Aeolian Islands. Large explosion at Stromboli. Hot avalanche at the Forgia Vecchia. At Punta Lena the sea penetrates 300 m destroying one house. A lot of fish found on the beach (Cavallaro, ref #10535; Barberi, ref #10534).
 (reference #4139)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0101-04=,Stromboli,Italy,38.789,15.213,926,Stratovolcano,Historical,D1,10104,Italy,0,,4227,1476,515
15.213,38.789,1879,2,4,2,10104,,,Y,"1879, February 4. VEI 2. (reference #9675)
<P>1879, February 4-5. Ash fallout, pumice emission and tsunami. (reference #10534)
<P>Start Date: 1890, Stop Date: 1907 May 29. Dating Technique: Historical Records. Volcanic Explosivity Index (VEI):  3. Lava Volume:  4.3  x  104 m<sup>3</sup>.
Eruptive Characteristics: Central vent eruption,
Explosive eruption, Lava flow(s), Damage (land, property, etc.). (reference #2432)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0101-04=,Stromboli,Italy,38.789,15.213,926,Stratovolcano,Historical,D1,10104,Italy,0,,5480,1440,515
14.426,40.821,79,8,24,5,10102,3500,,,"2,000 skeletons found in 3.5-excavated Pompeii, recently hundreds were found in partly-excavated Herculaneum. Pyroclastic surges affected these and other towns and produced most of the fatalities (total unknown).
<P>79 A.D. October 24. Volcanic Explosivity Index (VEI):  5?. Tephra Volume:  3.3  ±  0.5  x  109 m<sup>3</sup>. 
Area of Activity: (Pompeii eruption). Eruptive Characteristics:
    Central vent eruption,
    Explosive eruption,
    Pyroclastic flow(s),
    Fatalities,
    Damage (land, property, etc.),
    Mudflow(s) (lahars),
    Tsunami (giant sea waves),
    Caldera collapse,
    Evacuation. (reference #1412)",,,,3500,4,Very Many (~1001 or more people),,,,,,,,,,,,,3500,4,Very Many (~1001 or more people),,,,,,,,,,1,,0101-02=,Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,10102,Italy,0,58,3093,1348,758
14.426,40.821,1698,5,,3,10102,,,Y,"1698, May 14, 10 UTC. Campania. 40<sup>o</sup>49' N, 14<sup>o</sup>26' E, VEI 3, tsunami intensity 2. A period of strong explosions and frequent earthquakes (May, 19 - July, 14) concluding a 25-month cycle of Vesuvius activity. Five anomalous sea oscillations seen in Naples on May, 14.  (reference #4139)
<P>Start Date: 1697, September 15, Stop Date: 1698, July. VEI 3. (reference #2432)
<P>1698, May 25. VEI 3. (reference #9675)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0101-02=,Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,10102,Italy,0,,3141,1380,758
14.426,40.821,1631,12,16,4,10102,4000,Y,Y,"Most of the greater than 4,000 fatalities caused by pyroclastic surges. Earlier accounts ascribe deaths to lava flows, mudflows and tephra falls, but lava flows are uncertain. One estimate of the total death toll reached 18,000. Hamilton reported men and beasts struck dead by lightning. 30 cm tephra in Naples.
<P>1631, December 16-23. Volcanic earthquake at the same time that Vesuvius eruption which caused great victims 4000. Previously, this volcano had remained undisturbed for five centuries. More than 40 cities and towns one were destroyed, partly by the lava and partly by earthquakes. From the descriptions after the time, the tremors seem to have reached the degrees VI or VII in Naples, but at least the degrees IX or IX 1/2 at the foot and on the slopes of Vesuvius, including at Boscotrecase, Portici, Torre del Greco, etc. These seismic-volcanic phenomena caused a tidal tide that swept the coast. (reference #1093)",,4,Extreme (~$25 million or more),4000,4,Very Many (~1001 or more people),,,,,,,,4,Very Many (~1001 or more houses),,4,Extreme (~$25 million or more),4000,4,Very Many (~1001 or more people),,,,,,,,4,Very Many (~1001 or more houses),1,,0101-02=,Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,10102,Italy,0,9756,3129,1349,758
14.426,40.821,1794,6,15,3,10102,400,,,"60 fatalities at Torre del Greco, with 80% of the town destroyed by lava flows. Several people died from CO2. Sapper reported 26 killed, possibly by lava flows. Hoffer described 15 deaths by lava flows and explosions when the lava reached the bay. Scandone et al. report a total of 400 fatlaities, and complete destruction (by mudflows and ashfall?) of S. Guiseppe, Ottaviano, and Somma.",,3,Severe (~>$5 to $24 million),400,3,Many (~101 to 1000 people),,,,,,,,,,,3,Severe (~>$5 to $24 million),400,3,Many (~101 to 1000 people),,,,,,,,,,1,,0101-02=,Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,10102,Italy,0,,,1345,758
14.426,40.821,1906,4,4,3,10102,350,,Y,"Nazarro suggests a total of 216 fatalities. Delme-Radcliff indicates approximately 300 killed and 300 injured: 105 killed and 90 injured in fall of church roof in San Giuseppe, 90 killed in collapse of house roofs, 90 killed in Ottaviano, 20 killed in San Gennaro, and about 50 others elsewhere including 14 killed in the collapse of the MOnte Oliveto Market in Naples. Lacroix indicates 3 deaths in a lava flow.",,,,350,3,Many (~101 to 1000 people),300,3,Many (~101 to 1000 people),,,,,,,,,,350,3,Many (~101 to 1000 people),300,3,Many (~101 to 1000 people),,,,,,,1,,0101-02=,Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,10102,Italy,0,,3413,1344,758
10.5,6.25,1986,8,21,3,20403,1700,,,Lake Nyos. Deaths caused by release of large volume of CO2 from lake. More than 300 survivors hospitalized.,,,,1700,4,Very Many (~1001 or more people),300,3,Many (~101 to 1000 people),,,,,,,,,,1700,4,Very Many (~1001 or more people),300,3,Many (~101 to 1000 people),,,,,,,1,,0204-03-,Oku Volc Field,Africa-W,6.25,10.5,3011,Maar,Radiocarbon,D5,20403,Cameroon,0,,,1719,1245
139.380000000000109,34.73,1986,11,15,3,80401,1,,,"A 74-year-old man died of a heart attack while being evacuated by ship from the island, on eruption's first day.",,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0804-01=,Oshima,Izu Is-Japan,34.73,139.38,758,Stratovolcano,Historical,D1,80401,Japan,0,,,1332,1259
139.380000000000109,34.73,1957,8,,2,80401,1,,,One tourist killed and 53 injured by explosion.,,,,1,1,Few (~1 to 50 people),53,2,Some (~51 to 100 people),,,,,,,,,,1,1,Few (~1 to 50 people),53,2,Some (~51 to 100 people),,,,,,,1,,0804-01=,Oshima,Izu Is-Japan,34.73,139.38,758,Stratovolcano,Historical,D1,80401,Japan,0,,,1318,1259
139.380000000000109,34.73,1953,10,5,1,80401,1,,,1 death. Cause not listed.,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0804-01=,Oshima,Izu Is-Japan,34.73,139.38,758,Stratovolcano,Historical,D1,80401,Japan,0,,,1315,1259
41.808,13.58,1861,5,7,3,20110,106,,,Fatalities occurred during initial explosive phase of eruption. Two villages were destroyed and large herds of cattle were killed. The agent of fatalities is not clear.,,3,Severe (~>$5 to $24 million),106,3,Many (~101 to 1000 people),,,,,,,,3,Many (~101 to 1000 houses),,3,Severe (~>$5 to $24 million),106,3,Many (~101 to 1000 people),,,,,,,,3,Many (~101 to 1000 houses),1,,0201-10=,Dubbi,Africa-NE,13.58,41.808,1625,Stratovolcano,Historical,D3,20110,Eritrea,0,2049,,1342,63
138.73,35.35,1707,12,16,4,80303,,Y,,"The 1707 eruption of Mt. Fuji (called the Hoei eruption) was one of the most violent eruptions from this volcano. The tephra covered most of the south Kanto plain, including Tokyo, and is found in deep sea cores in the northwestern Pacific Ocean. Many lost their lives due to starvation after the eruption, however no victims were recorded as a direct result of the tephra fall-out. In Subashiri, 72 houses and 3 Buddhist temples were burned or crushed on the first day of the eruption. Following this eruption, many could not obtain food from their farms and thus died of starvation.

<p>The eruption started forty-nine days after the devastating 1707 Hoei Earthquake (M8.4).",,1,Limited (<$1 million),,1,Few (~1 to 50 people),,,,,,,75,1,Few (~1 to 50 houses),,1,Limited (<$1 million),,1,Few (~1 to 50 people),,,,,,,75,1,Few (~1 to 50 houses),1,,0803-03=,Fuji,Honshu-Japan,35.35,138.73,3776,Stratovolcano,Historical,D4,80303,Japan,0,1178,,1065,126
35.902,-2.751,1967,7,8,3,20212,,,,"Ash fell at the Arusha airport, 110 km to the south east and Wilson airport, Nairobi, 190 km to the north east, and at both airports the corrosive dust damaged aluminum aircraft.",,1,Limited (<$1 million),,,,,,,,,,,,,,1,Limited (<$1 million),,,,,,,,,,,,,1,4,0202-12=,"Lengai, Ol Doinyo",Africa-E,-2.751,35.902,2890,Stratovolcano,Historical,D1,20212,Tanzania,0,,,1672,351
35.902,-2.751,1966,8,14,4,20212,,,,Caused some damage to land and property.,,1,Limited (<$1 million),,,,,,,,,,,,,,1,Limited (<$1 million),,,,,,,,,,,,,1,4,0202-12=,"Lengai, Ol Doinyo",Africa-E,-2.751,35.902,2890,Stratovolcano,Historical,D1,20212,Tanzania,0,,,1671,351
35.902,-2.751,1940,7,24,2,20212,,,,Caused some damage to land and property.,,1,Limited (<$1 million),,,,,,,,,,,,,,1,Limited (<$1 million),,,,,,,,,,,,,1,4,0202-12=,"Lengai, Ol Doinyo",Africa-E,-2.751,35.902,2890,Stratovolcano,Historical,D1,20212,Tanzania,0,,,1668,351
